place_id,type,reviews,rating
ChIJUYr8gfy2lUcR5MHYtIhtZo4,General contractor,10.0,5.0
ChIJe3szDKa2lUcRgePVLUPEf9I,General contractor,92.0,4.8
ChIJOegRI-K2lUcRkF9tBGXXSm0,Construction company,8.0,4.1
ChIJKeeapRy3lUcRjXmBRLD8Log,Construction company,10.0,4.6
ChIJjwIBGKy3lUcRYs9DaCcJixs,Construction company,2.0,5.0
ChIJO5K_6BG3lUcRg_BC-W7oBMs,Construction company,5.0,4.4
ChIJVVVxX9-2lUcRZlPOn-9Y_4k,Construction company,5.0,5.0
ChIJjQ43jwS3lUcRBjgGaBFuXGY,Construction company,16.0,3.9
ChIJ72otxQ23lUcRrwlbrwbw2eg,Construction company,,
ChIJH39DIOC2lUcRngWhmhMTpek,Construction company,,
ChIJFbUWuAO3lUcRe1XaFWFLZTo,Construction company,1.0,5.0
ChIJ5VTpDsK3lUcRKVegEPtbbww,Construction company,5.0,4.2
ChIJE9V-SE22lUcR1XB0SBIHasg,Construction company,3.0,3.7
ChIJl3AQuwO3lUcRu6C6m2sB5ek,Construction company,137.0,4.8
ChIJLy-E7ay3lUcR3hcTPXfdi_Q,Construction company,1.0,5.0
ChIJTzHWpzG3lUcROYCRxYt6vAc,Construction company,,
ChIJj8LT9QO3lUcRekz2GBsEgVY,Construction company,265.0,4.9
ChIJwyuYfTXRlUcR9w_dNk1E4no,Construction company,1.0,5.0
ChIJZW_2BAG3lUcRHhknqgIspkk,Construction company,10.0,4.6
ChIJA-bUfzK3lUcReNJh8xydpJQ,Construction company,,
ChIJi9rPDN22lUcRl6fKBPFa3oQ,Construction company,1.0,1.0
ChIJbaPv0wW3lUcRZSzyxVB-nnw,Construction company,8.0,5.0
ChIJK5WctQK3lUcRt04L6Lya37E,Construction company,2.0,3.5
ChIJ457J6t62lUcRIXKQFCvd_Lo,Construction company,2.0,5.0
ChIJDT6k6xO3lUcRFEfZ4WN38-w,Construction company,215.0,4.3
ChIJQV8T29G3lUcRB_iQevvCoI0,Construction company,42.0,5.0
ChIJsWGBcQG3lUcR1xKeCpfgG1w,Construction company,2.0,5.0
ChIJr3bVYQC3lUcRbNZlFodlrrY,Building firm,,
ChIJN3vp8xq0lUcRVJyMGagQ96g,Home builder,,
ChIJn7OnQQS3lUcRIM6yfdGapBk,Home builder,24.0,5.0
ChIJM6Y47au3lUcRdX7URzEHEp0,Home builder,13.0,4.2
ChIJ7SJydAS3lUcRaJ3XCRLj44M,Home builder,,
ChIJqbnqtga3lUcRx648ir3pWH8,Home builder,10.0,4.8
ChIJP8S8Qwm3lUcRVSXTpWG4md8,Home builder,2.0,3.0
ChIJW2BPZK63lUcRUgQPalGaIqA,Home builder,1.0,5.0
ChIJf6vndQO3lUcRlQH2RQpAoVc,Home builder,6.0,2.3
ChIJDXAn2hO3lUcRKjN6LzmHuoI,Home builder,8.0,4.5
ChIJWz951BO3lUcRlDclPeTddcc,Home builder,1.0,5.0
ChIJNRYVxwi3lUcRu-S4lKQ7SSk,Home builder,,
ChIJ6zyB_BG3lUcRS7hMZ5U725M,Home builder,5.0,3.4
ChIJoc_Tfga3lUcRh7PgieODX-Y,Home builder,84.0,4.6
ChIJLV3PxNO3lUcR421tlSxjGu8,Home builder,,
ChIJqSsSRRC3lUcRto5ehWXnfGM,Home builder,6.0,3.0
ChIJXwk6N1W2lUcR7B6UDOpLsAM,Home builder,1.0,5.0
ChIJ955KjBa3lUcRJ07l41rzbRE,Interior designer,753.0,4.3
ChIJSUc_MAK3lUcRTCLQjtWfe8o,Interior designer,15.0,4.7
ChIJHUDReuK2lUcRvFQI8Mc3NJw,Window supplier,111.0,4.8
ChIJiayBWQK3lUcR84r_rC8Zz6Q,Naturopathic practitioner,14.0,5.0
ChIJr5sdvx23lUcRpS-g5aNiJhg,Non-profit organization,,
ChIJgw4hf6m3lUcRTJntUZOFVFg,Non-profit organization,12.0,4.3
ChIJXULiswO3lUcRwPZxfP445bs,Non-profit organization,12.0,4.2
ChIJR7fgBg63lUcR6ATpWeCN4Cc,Non-profit organization,35.0,3.7
ChIJo2SAqPu3lUcRs1A2jpBjCn4,Non-profit organization,,
ChIJf7bTV8W2lUcRQenvmdpfNws,Non-profit organization,2.0,4.5
ChIJZ4dhQgC3lUcRnMx8ZqSsO88,Non-profit organization,1.0,5.0
ChIJYwOTIPi3lUcROX6U2tRLlsM,Non-profit organization,,
ChIJocuJmwG3lUcRdcbIL78C1Ro,Non-profit organization,,
ChIJQU8ekQi3lUcRup6jI8XfSkI,Non-profit organization,3.0,5.0
ChIJladpgA23lUcRw8fCTBsFTBY,Charity,4.0,2.0
ChIJk9eINQK3lUcRhw_PuGk38BY,Association / Organization,13.0,3.8
ChIJUaCQAB23lUcR_Dc9pdQBVtw,Association / Organization,,
ChIJDRZ_dQa3lUcRUsOZ06aEYYQ,Association / Organization,10.0,4.8
ChIJB2EsyAK3lUcRIGOSkp-mThs,Association / Organization,1.0,4.0
ChIJvWLRiNi2lUcRYjSvXOaSoso,Association / Organization,6.0,4.5
ChIJxfLCdAa3lUcRp14gGFaYdnw,Association / Organization,24.0,3.9
ChIJR5YTGBu3lUcRIoG6t-mDxg4,Association / Organization,1.0,5.0
ChIJAQD0UQ-3lUcRuzFLIqauw_A,Association / Organization,,
ChIJnajBgJu3lUcRELwNPmu4_RM,Association / Organization,,
ChIJ80IEaRu3lUcRlyPhjazbmcE,Association / Organization,1.0,5.0
ChIJr6W26Ai3lUcR8aIrTJqIgvU,Association / Organization,3.0,4.7
ChIJxatCaZa1lUcRP2B5KQm_Ea0,Association / Organization,57.0,3.7
ChIJaw4LsgO3lUcRJTY_wQPY67w,Association / Organization,10.0,4.9
ChIJlxIQ9R23lUcRtgiIVQsG6V0,Association / Organization,66.0,4.3
ChIJq-k5k2a3lUcRqx_13uV6zSk,Association / Organization,,
ChIJLQkgnBu3lUcRGxz302AoTaU,Association / Organization,1.0,5.0
ChIJVVXZ5QG3lUcRlTlwmFL_p8Q,Association / Organization,,
ChIJEd2qdP62lUcRD7EO6nuH61M,Association / Organization,1.0,5.0
ChIJcwp73wO3lUcRJZ3Hkr_LbWI,Association / Organization,44.0,4.5
ChIJq1DTZmm3lUcRfmz0866xio8,Association / Organization,8.0,4.8
ChIJwZO_t5i2lUcR0f_aC9qq20Y,Association / Organization,1.0,5.0
ChIJjed5DGe3lUcRj2D6fdvDOmc,Association / Organization,7.0,1.4
ChIJMTNouxW3lUcRyPvyGsGA1ts,Association / Organization,,
ChIJfQ7KVQG3lUcR_tVfCnly4qE,Association / Organization,20.0,4.6
ChIJ0wh6Awm3lUcRfzxq1-ExqTc,Association / Organization,62.0,4.1
ChIJCQINPF23lUcR85i2_EPEEEs,Association / Organization,12.0,4.4
ChIJR7HlOuW3lUcRZoRYJoLy7Ik,Association / Organization,4.0,5.0
ChIJnWiM8wC1lUcR2M5s1ssTeM4,Association / Organization,2.0,5.0
ChIJx1hgVgi3lUcRaC4ylEO4-7E,Association / Organization,1.0,4.0
ChIJn8S1xgO3lUcRCv-lsZeRfn0,Association / Organization,,
ChIJi7vqut-2lUcRarudhmJ3GYc,Association / Organization,1.0,4.0
ChIJfdHTdVa2lUcRXPvU8Uv4PUE,Association / Organization,,
ChIJ077vTQG3lUcReWFIvEeogRw,Association / Organization,8.0,4.1
ChIJyTOKu9i2lUcRGJJ41Hw-Hsk,Association / Organization,11.0,3.7
ChIJ6T80E_u2lUcRApZLpspwFP4,Association / Organization,,
ChIJJxH0Dcm3lUcRHGNbdTQsyH4,Thrift store,32.0,4.6
ChIJnd937gO3lUcRhg4SV-33tHg,Thrift store,32.0,4.3
ChIJIblHLw63lUcRZHDvcVcmtWs,Thrift store,148.0,4.8
ChIJuz_-QwC3lUcRFX-bEiNDZCE,Thrift store,129.0,4.7
ChIJBzdghwG3lUcR3YFmv3uPDuw,Club,44.0,4.2
ChIJvxzVqNy2lUcRyBBXmMXNNOA,Club,364.0,3.6
ChIJx1hgVgi3lUcRUq61iz90Niw,Club,391.0,4.0
ChIJC6VOCuG2lUcRT0HhiGUyZTU,Club,849.0,4.3
ChIJCaTpZB23lUcRZo6qcT4CZso,Club,52.0,3.8
ChIJO8aONQS3lUcRBrV5LyFB9SY,Youth center,4.0,4.8
ChIJsz8UlVO2lUcRpxtln70xGtw,Day care center,2.0,5.0
ChIJF314jxG3lUcRjZgLj8Qpu28,Day care center,3.0,3.7
ChIJ4cZI7Pu2lUcRvlQxutXizX4,Day care center,2.0,5.0
ChIJF6k5LAK3lUcRxSOrE-g_-h0,Nursing home,,
ChIJ3VvEpAC3lUcRphv73qykR40,Nursing home,,
ChIJ3VvEpAC3lUcRyfBrjh_FqhM,Nursing home,132.0,3.5
ChIJofTqywO3lUcRcDuB6L-2ZtY,Nursing home,16.0,4.4
ChIJ542mz5m3lUcRM3uQ1Z2-tcw,Nursing home,,
ChIJW2ez7gO3lUcRwGBnaBPaw5Y,Nursing home,13.0,5.0
ChIJdcRJEJ23lUcRAy6hOuTK9wQ,Nursing home,11.0,4.6
ChIJBzdghwG3lUcRiz3ZXjuBC6c,Nursing home,246.0,3.7
ChIJpfhj_XK3lUcRwkZ8XRS_mno,Nursing home,1.0,1.0
ChIJR8SBKpi3lUcR3Uf_SbFXsws,Nursing home,6.0,3.8
ChIJazR2Tty3lUcRIv-N6AilGT8,Apartment building,,
ChIJHwqhYAC3lUcRyM92vIjqB7k,Apartment building,,
ChIJpekLnwS3lUcRAcvmler0sNM,Apartment building,6.0,4.8
ChIJMX4wMvq3lUcRgV13ypcoa5c,Apartment building,2.0,5.0
ChIJ39nzahK3lUcRLyKpSdPcxGI,Building,2.0,5.0
ChIJc0lvVgm3lUcR9-8dn86YIyk,Italian restaurant,98.0,3.9
ChIJL6G8cw-3lUcRVPx40aUnaO4,Italian restaurant,205.0,4.4
ChIJt8LiNcS3lUcRwIwlcceREi8,Italian restaurant,36.0,4.2
ChIJ2zHVSAK3lUcRAEncsvW5qPo,Italian restaurant,477.0,4.6
ChIJ_xzZjVa2lUcR9e7GglyDb5c,Italian restaurant,483.0,3.9
ChIJcaPPVgC3lUcRivAFUR4ZYOc,Pizza restaurant,8.0,4.9
ChIJDW1YMQK3lUcRaOhVIP6b0TM,Pizza restaurant,242.0,4.2
ChIJhdHscVW2lUcRtfH3nJE6tg8,Pizza restaurant,350.0,4.4
ChIJ5efdaAS3lUcRdA6u_oF0I00,Pizza restaurant,201.0,4.5
ChIJa9QQdJ63lUcR6suuu8FIWM0,Pizza restaurant,309.0,4.0
ChIJJXncQwC3lUcRn4mNWw2sSLk,Pizza restaurant,4.0,4.5
ChIJuTwDhAO3lUcRAskwsCD_9Yc,Pizza restaurant,39.0,3.1
ChIJlynUNAK3lUcRHs3gFYR5bJU,Pizza restaurant,62.0,3.0
ChIJYy0ySSS3lUcRPyGpHZN7Ons,Pizza restaurant,32.0,4.8
ChIJVytMAOK3lUcR6ufyeIbxPxE,Pizza restaurant,73.0,4.6
ChIJGZLrYL-3lUcR9mVL-W9N1V0,Pizza restaurant,95.0,4.1
ChIJ-XQUtaG3lUcRmlyfhpxkn0o,Pizza restaurant,184.0,4.2
ChIJ5UnVt9N9C0ERuvY2hLmO70g,Pizza restaurant,464.0,4.5
ChIJ20Gkrt-3lUcRAQXaCSSSnTY,Pizza restaurant,29.0,3.7
ChIJ0eOhqFa2lUcR6XzMOS4GvsI,Restaurant,649.0,4.6
ChIJb2k7j0O3lUcRZhNK4qbLlEo,Restaurant,89.0,3.8
ChIJGXUB-6S3lUcRh1CHkQCNI_Y,Restaurant,56.0,4.8
ChIJKTfaPwK3lUcRLYnVI_CL05A,Restaurant,144.0,4.6
ChIJwUDl8AO3lUcR2Wicfv4azoc,Restaurant,23.0,4.6
ChIJVVWwk1a2lUcR0NwJCI2JqpQ,Restaurant,22.0,3.9
ChIJTT5Mchu3lUcR_5dIOuULNNg,Restaurant,49.0,4.5
ChIJXzbTVNm2lUcRUSjw5e2Fg5E,Restaurant,62.0,4.1
ChIJp-CwqAa3lUcRxpfRIMo5eOI,Restaurant,261.0,4.6
ChIJi6kzjAa3lUcR1sKZPsyeIIM,Restaurant,64.0,4.5
ChIJA-_05Au3lUcRxoGbnaiG2No,Restaurant,8.0,3.6
ChIJBzdghwG3lUcRuKu3_WH1WSo,Restaurant,972.0,4.1
ChIJC9jS-hO3lUcRXFKM9MvjrDs,Restaurant,1656.0,3.6
ChIJb8W6IFS2lUcRCHMQ39KdXug,Restaurant,196.0,4.3
ChIJDZwqtb63lUcRmAfppJaBd6I,Restaurant,9.0,4.2
ChIJxxqczVO2lUcR7-sbtMkm3eg,Restaurant,16.0,4.7
ChIJfzI3BgS3lUcRWjfYoVaWf_c,Restaurant,11.0,4.9
ChIJE3Sk-NS3lUcR9jLmZogszRg,Restaurant,40.0,4.3
ChIJF6_OXX-3lUcRvTck9fUCGEc,Buffet restaurant,26.0,4.2
ChIJn1tipgO3lUcRcipUTquZqRo,Snack bar,129.0,4.4
ChIJD1kk5hG3lUcRdKL6XgiO3ik,Caterer,29.0,4.4
ChIJ-8So0jS3lUcR3cW-ksmsTa4,Caterer,13.0,4.8
ChIJN0-2FAS3lUcRXbZoUvdzkE0,Caterer,95.0,4.4
ChIJF9PiwRy3lUcRGD-1LiVLQUA,Caterer,2.0,5.0
ChIJPbvyqYd-C0ERR40_kw16KjQ,Caterer,45.0,4.5
ChIJ58qUkE-3lUcRhLm_k-gc4KM,Caterer,22.0,5.0
ChIJXdZMtv62lUcR2Eu9NWj9UnE,Cafe,110.0,4.8
ChIJ5Stz7qi3lUcR2ozpOclxbEY,Cafe,14.0,4.6
ChIJlyIQLgK3lUcR6NNmUcMZzkU,Cafe,201.0,5.0
ChIJGaBctIB-C0ERxWOalgwmQYQ,Cafe,85.0,4.8
ChIJQ5kqZwS3lUcRqZORIja5XqA,Cafe,122.0,4.0
ChIJV8yFxBG3lUcR0jjzvOLFC24,Cafe,6.0,4.8
ChIJl5pADwO3lUcRb_-930-Isww,Cafe,38.0,3.4
ChIJMZcjBxHDB2oRmonA_LGQRf4,Cafe,49.0,4.7
ChIJpYKtlSC3lUcR9yuwKcJ-9cQ,Cafe,58.0,4.8
ChIJGRwxxgO3lUcR5VZ4bMYmldI,Cafe,205.0,4.1
ChIJuw6GMDW3lUcRUWs9T5zfTQ4,Cafe,10.0,3.0
ChIJZ_8wedR9C0ERODcm_eGqrLw,Cafe,49.0,4.3
ChIJx5Xxepu3lUcRBuJpsjI_VR0,Beauty salon,10.0,5.0
ChIJf2aDMyW3lUcRpZR_1lQsD5E,Beauty salon,99.0,4.6
ChIJ5Z9rZYi3lUcRqkblgKZzWy0,Beauty salon,40.0,2.8
ChIJgaQ3g3m3lUcR4Ghi3Be7ltw,Beauty salon,16.0,3.6
ChIJ7Ua-uQO3lUcR4B4AzjbgRWA,Beauty salon,46.0,4.7
ChIJIcz9kVa2lUcRcHyJRC0qQf4,Beauty salon,106.0,4.9
ChIJEf4bxEq3lUcRhq0Ppc6zXnM,Beauty salon,37.0,4.6
ChIJ01ppyAO3lUcRODgG6nJz2F0,Beauty salon,65.0,4.8
ChIJzZptlt-2lUcRctV9Y1G7Jas,Beauty salon,42.0,4.8
ChIJ5cQZSHW3lUcRVtAdbQNRF4s,Beauty salon,60.0,5.0
ChIJfTzaIgK3lUcRcssUpsaOuOY,Beauty salon,1.0,4.0
ChIJwUDl8AO3lUcRvkG3PcwBgbc,Beauty salon,40.0,4.7
ChIJHQOBpgO3lUcRDahwiAYZcj8,Beauty salon,71.0,4.5
ChIJ88Et8gK3lUcRInWSB0ziE78,Beauty salon,17.0,4.8
ChIJR-5PNAK3lUcRJHyrz_DcCjM,Beauty salon,55.0,3.7
ChIJF2piXla2lUcR3sZbnFZUdAg,Beauty salon,14.0,4.3
ChIJx1_81gO3lUcRWtzaaaSUcks,Beauty salon,134.0,4.8
ChIJ2Xe55qq3lUcRErVicoZ-XlY,Beauty salon,76.0,4.7
ChIJYZpxuP62lUcRR5WJVzn8bGA,Beauty salon,2.0,2.5
ChIJCVg3guK2lUcRdPcAb6i17IQ,Beauty salon,1.0,5.0
ChIJQeuVlNG3lUcRp5Px2yKoShg,Beauty salon,22.0,5.0
ChIJE8ElxwO3lUcRYbgPs7Jx92k,Beauty salon,30.0,3.4
ChIJSwJoKAK3lUcR909KFYDM39o,Beauty salon,32.0,4.5
ChIJ2atm9au3lUcRH_8R2DjkLIE,Beauty salon,,
ChIJoyp0_KO3lUcR_Awfm2dO3Pk,Beauty salon,38.0,4.5
ChIJ_y5TBwS3lUcRaPOz1RIlESc,Beauty salon,163.0,4.9
ChIJ_4eHwQO3lUcRB0wYWjuN_6A,Cosmetics store,48.0,4.8
ChIJy8QzwKu3lUcRpof2fDmbUTQ,Auto repair shop,,
ChIJqRMwKXu3lUcRYP0h4dpfPOg,Auto repair shop,2.0,5.0
ChIJvzvWlxu3lUcR4CxpGlpbxqI,Auto repair shop,36.0,3.5
ChIJLY-8nga3lUcRYxqub9HPNuE,Auto repair shop,,
ChIJPzpiBwG3lUcR_mgoaXIj32A,Auto repair shop,4.0,5.0
ChIJIblHLw63lUcR3r0YCY3902g,Auto repair shop,35.0,4.7
ChIJMWXAfqu3lUcRGqY9AySEgwU,Auto repair shop,,
ChIJh7AKEBS3lUcRHm5HRSCYFNg,Auto repair shop,19.0,4.9
ChIJ_6BMndm2lUcRkvbfbkid7vA,Auto repair shop,2.0,5.0
ChIJa3Zcxre3lUcRcmKBHJ6T5CQ,Auto repair shop,7.0,4.1
ChIJy5sgFAO3lUcRBo37cX7OZe8,Auto repair shop,,
ChIJQZKx0922lUcRm6QBnY6h4Hw,Auto repair shop,129.0,4.8
ChIJSVdRYNy2lUcRohWqJat0gXc,Auto repair shop,255.0,4.3
ChIJXVowmiG3lUcRlZcfGYaBkDU,Auto repair shop,,
ChIJ3Y39EgO3lUcR2tnQ5SsDFPM,Auto repair shop,1.0,4.0
ChIJq6pmWQK3lUcReqWOj90Cq9w,Auto repair shop,,
ChIJe-uHixO3lUcR8A39XVeRqtI,Auto repair shop,2.0,4.5
ChIJ_Rhn3BO3lUcRTW-fo4UFTh0,Auto repair shop,75.0,4.4
ChIJQffyDM59C0ERqA82Zc9jUns,Auto repair shop,319.0,4.8
ChIJnyBVpvy3lUcRe8sOve4BW64,Auto repair shop,,
ChIJNZSQWBG3lUcR78DavpbIZXg,Auto repair shop,108.0,4.3
ChIJa52YIAS3lUcR6LAbIYrtYGI,Auto repair shop,23.0,5.0
ChIJl5pADwO3lUcR3AAAA-FJRxs,Auto repair shop,79.0,4.6
ChIJuxgJvFS2lUcREztumDBM8Bc,Auto repair shop,5.0,4.0
ChIJuVVKtQa3lUcROpNlQaGgyBo,Auto repair shop,9.0,4.6
ChIJhdJvkga3lUcRaouLD367jig,Auto repair shop,41.0,5.0
ChIJQ30-WAi3lUcRIKOb9fuPO6M,Auto repair shop,3.0,4.3
ChIJh0Z8cwC3lUcRhbtnaFjZUPA,Bar,,
ChIJdbmHMwK3lUcRq1i1HWv_VuY,Bar,9.0,4.2
ChIJXUndkiC3lUcR8AK5mJGsSsI,Bar,41.0,4.7
ChIJJVc065u3lUcRexOvWR7ZKys,Bar,3.0,5.0
ChIJA6TdnRy3lUcROMAVtzPPhrM,Cleaners,1.0,5.0
ChIJF17C6f22lUcRvRAnM0SxPPU,Cleaners,,
ChIJG8S5--i3lUcRDIkPeCLjEg8,Cleaners,,
ChIJyQNuJUC3lUcR-wKVIbw_lS8,Cleaners,1.0,5.0
ChIJUVNcYyDAlUcRilCUULFprRA,Cleaners,14.0,3.1
ChIJ2z1lIAC3lUcRX7ZSI_t-6C4,Cleaners,,
ChIJuVPDI-K3lUcRthHtl91t6kc,Cleaners,1.0,5.0
ChIJSTjLLCS3lUcRUFLnDAxhEKc,Cleaners,4.0,2.3
ChIJm5oSfuO2lUcRa0DOTkYrjI4,Cleaners,6.0,2.3
ChIJN7qN-Je3lUcR-wf5cKqjprM,Cleaners,2.0,5.0
ChIJofpLNIm3lUcR44GjoVRVkvE,Cleaners,,
ChIJiyG51x-3lUcRuXrajuk-Rz4,Transportation service,,
ChIJeRGeVN62lUcR1ceFMBGsVDg,Transportation service,,
ChIJoTr7mN-2lUcRhkvP7A2piYg,Transportation service,,
ChIJ-_C8i1W2lUcRJilgO3-EX64,Transportation service,,
ChIJnaRosQa3lUcRZh3IOd3Nwz0,Transportation service,,
ChIJYwu3I_-2lUcRNMRr2Z5fnV4,Transportation service,33.0,3.7
ChIJ5WZYElO2lUcRJGIRJ4uShmY,Transportation service,,
ChIJjef3CgS3lUcRMbceVDB5Uf4,Transportation service,10.0,4.3
ChIJXy_8DgO3lUcRI9n8TTeTkQg,Transportation service,8.0,3.4
ChIJdVikI_-2lUcRSS-Th48vCAg,Transportation service,,
ChIJGVoM9A63lUcR6evYLg3kCNg,Transportation service,14.0,3.6
ChIJ-akSO1S2lUcRuiNUKpaox4w,Transportation service,1.0,5.0
ChIJgZDaecq3lUcR4pgmbnHVYEM,Transportation service,1.0,3.0
ChIJn-P7Qx63lUcRr913piXgfOU,Transportation service,,
ChIJTVyK4Kq3lUcRU-xXakxeyig,Transportation service,,
ChIJ35b_ENu2lUcRT4_Btdi7JzY,Transportation service,1.0,5.0
ChIJT9rrrti2lUcRJKPWxJ5Y9PE,Transportation service,1.0,3.0
